Julio Rodriguez,Trea Turner,Aaron Judge,Jose Ramirez,Ronald Acuna Jr.,Shohei Ohtani,Bobby Witt Jr.,Vladimir Guerrero Jr.,Mookie Betts,Kyle Tucker,Gerrit Cole,Juan Soto,Yordan Alvarez,Corbin Burnes,Bryce Harper
Emmanuel Clase,Edwin Diaz,Shane McClanahan,Paul Goldschmidt,Sandy Alcantara,Brandon Woodruff,Fernando Tatis Jr.,Austin Riley,Rafael Devers,Pete Alonso,Jacob deGrom,Freddie Freeman,Bo Bichette,Mike Trout,Manny Machado
Luis Robert,Aaron Nola,Max Scherzer,J.T. Realmuto,Jose Altuve,Cedric Mullins,Matt Olson,Jordan Romano,Julio Urias,Francisco Lindor,Michael Harris II,Dylan Cease,Ozzie Albies,Liam Hendriks,Zack Wheeler
Daulton Varsho,Kevin Gausman,Tim Anderson,Starling Marte,Max Fried,Ryan Pressly,Nolan Arenado,Jazz Chisholm Jr.,Shane Bieber,Spencer Strider,Josh Hader,Randy Arozarena,Corbin Carroll,Will Smith,Marcus Semien
Nathaniel Lowe,Teoscar Hernandez,Salvador Perez,Adley Rutschman,Corey Seager,Byron Buxton,Tyler Glasnow,Devin Williams,Alek Manoah,Carlos Rodon,Dansby Swanson,Luis Castillo,Oneil Cruz,Eloy Jimenez,Joe Musgrove
Framber Valdez,Gunnar Henderson,Wander Franco,Xander Bogaerts,Kyle Schwarber,Alex Bregman,Tommy Edman,Alejandro Kirk,Yu Darvish,Andres Gimenez,Justin Verlander,Adolis Garcia,Zac Gallen,Trevor Story,Felix Bautista
Willy Adames,Willson Contreras,Kenley Jansen,George Springer,Robbie Ray,Kyle Wright,C.J. Cron,Triston McKenzie,Rhys Hoskins,Cristian Javier,Vinnie Pasquantino,Gleyber Torres,George Kirby,Ryan Helsley,Bryan Reynolds
Freddy Peralta,Hunter Greene,Lance McCullers Jr.,Raisel Iglesias,Kris Bryant,Tyler O`Neill,Carlos Correa,Logan Gilbert,Alexis Diaz,Alec Bohm,Nick Castellanos,Nestor Cortes,Camilo Doval,Luis Severino,MJ Melendez
Brandon Lowe,Jake McCarthy,Ketel Marte,Scott Barlow,Jhoan Duran,Tyler Stephenson,Josh Rojas,Cal Raleigh,Daniel Bard,Anthony Santander,Christian Yelich,Lance Lynn,Logan Webb,Ke`Bryan Hayes,Jose Abreu
Eugenio Suarez,Jorge Polanco,Joe Ryan,Steven Kwan,Sean Murphy,Paul Sewald,Giancarlo Stanton,Nico Hoerner,Javier Baez,Jose Leclerc,Andrew Vaughn,David Bednar,Clayton Kershaw,Jeremy Pena,Amed Rosario
Clay Holmes,Ryan Mountcastle,Josh Naylor,Whit Merrifield,Blake Snell,Jorge Mateo,Lucas Giolito,Hunter Renfroe,Ty France,William Contreras,Jean Segura,Seiya Suzuki,Chris Sale,Anthony Rizzo,Luis Garcia
