Julio Rodriguez,Trea  Turner,Jose  Ramirez,Ronald  Acuna Jr.,Aaron  Judge,Shohei  Ohtani,Kyle  Tucker,Yordan  Alvarez,Juan  Soto,Bobby  Witt Jr.,Corbin  Burnes,Vladimir  Guerrero Jr.,Bryce  Harper,Manny  Machado,Gerrit  Cole
Shane  McClanahan,Dylan  Cease,Michael  Harris II,Emmanuel  Clase,Francisco  Lindor,Edwin  Diaz,Pete  Alonso,Austin  Riley,Mike Trout,Fernando  Tatis Jr.,J.T.  Realmuto,Rafael  Devers,Mookie  Betts,Bo  Bichette,Freddie  Freeman
Sandy  Alcantara,Paul  Goldschmidt,Liam  Hendriks,Marcus  Semien,Ozzie  Albies,Josh  Hader,Jacob  deGrom,Luis  Robert,Brandon  Woodruff,Spencer  Strider,Randy  Arozarena,Cedric  Mullins,Devin  Williams,Justin  Verlander,Corbin  Carroll
Oneil  Cruz,Jazz  Chisholm Jr.,Teoscar  Hernandez,Aaron  Nola,Jordan  Romano,Will  Smith,Nolan  Arenado,Max  Scherzer,Carlos  Rodon,Ryan  Pressly,Jose  Altuve,Julio  Urias,Daulton  Varsho,Adolis  Garcia,Matt  Olson
Andres  Gimenez,Zack  Wheeler,Max  Fried,Salvador  Perez,Adley  Rutschman,Shane  Bieber,Kyle  Schwarber,Starling  Marte,Rhys  Hoskins,Trevor  Story,Corey  Seager,Alek  Manoah,Kevin  Gausman,Luis  Castillo,Kenley  Jansen
Cristian  Javier,Raisel  Iglesias,Xander  Bogaerts,Tyler  Glasnow,Zac  Gallen,Nathaniel  Lowe,Jhoan  Duran,Felix  Bautista,Kyle  Wright,Joe  Musgrove,George  Springer,Eloy  Jimenez,Dansby  Swanson,Ryan  Helsley,Camilo  Doval
Tim  Anderson,Vinnie  Pasquantino,Triston  McKenzie,C.J.  Cron,Yu  Darvish,Tommy  Edman,Jeremy  Pena,Byron  Buxton,Kris  Bryant,Framber  Valdez,Robbie  Ray,Wander  Franco,Logan  Webb,Tyler  O`Neill,Alex  Bregman
Jose  Abreu,Nick  Lodolo,George  Kirby,Alejandro  Kirk,Luis  Severino,Ke`Bryan  Hayes,Jeffrey  Springs,Gunnar  Henderson,Amed  Rosario,MJ  Melendez,Bryan  Reynolds,David  Bednar,Willson  Contreras,Javier  Baez,Willy  Adames
Hunter  Greene,Tyler  Stephenson,Gleyber  Torres,Scott  Barlow,Nestor  Cortes,Taylor  Ward,Sean  Murphy,Blake  Snell,Cal  Raleigh,Christian  Walker,Daniel  Bard,Logan  Gilbert,Alexis  Diaz,Clay  Holmes,Steven  Kwan
Rowdy  Tellez,Anthony  Santander,William  Contreras,Nico  Hoerner,Christian  Yelich,Carlos  Correa,Josh  Rojas,Freddy  Peralta,Ty  France,Nick  Castellanos,Jesus  Luzardo,Seiya  Suzuki,Lucas  Giolito,Ryan  Mountcastle,Jake  McCarthy
Matt  Chapman,Eugenio  Suarez,Giancarlo  Stanton,Hunter  Renfroe,Anthony  Rizzo,Andrew  Vaughn,Gregory  Soto,Clayton  Kershaw,Jorge  Mateo,Ian  Happ,Max  Muncy,Joe  Ryan,Jorge  Polanco,Drew  Rasmussen,Lance  Lynn
